6.917287015598685e26,4611686071420045196,9223372033328793741,99997497,99997493
67166553,0,1,99997497,2
9487380981,"","���������������������������� ��.",99997497,9425424
99997497,1,1,99997497,1
137383524892081490,"2013-07-01 20:00:00","2013-07-31 19:59:59",99997497,1432857
1590053765957,"2013-07-02","2013-07-31",99997497,17
12902611803510,17,262115,99997497,6506
56369695964845830,-2147483530,2147482902,99997497,9762046
333097040676,0,131069,99997497,9040
2.5288897300953795e26,-9223361817928421363,9223371425449051681,99997497,17630976
48540993,0,1,99997497,2
4024862449,0,159,99997497,91
1354425580,0,121,99997497,57
9038838007,"","https://yugra-advert2792270][to]=&input",99997497,18342019
6662458426,"","https://wildberriotypjhkhj.ya.ru/search",99997497,19720797
6669189,0,1,99997497,2
722026014976,0,16351,99997497,1335
131160961243,0,130291,99997497,1231
717758609146,0,16373,99997497,1226
166228835278,0,130524,99997497,898
151345005230,0,11492,99997497,2159
97886561592,0,16241,99997497,3244
3202859062,0,57,99997497,7
1296355767,0,22,99997497,12
632018217,0,13,99997497,9
309772881,"","88",99997497,63
9892128,0,9,99997497,6
29204588,0,9,99997497,8
1653187839,0,11550,99997497,59
362652076,"00","�O",99997497,78
99847092,0,1,99997497,2
99075258,0,1,99997497,2
10172424,0,1,99997497,2
42331697,0,125,99997497,44
23280516,"","one_touch",99997497,166
28280886,"","{sign_in:true,region:213}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}",99997497,401
233270922007935,1,4194255,99997497,89907
13350925,-1,11,99997497,10
108529130,0,255,99997497,96
739636342,"","	властье из",99997497,6019103
7280088,0,62,99997497,19
12459658,0,1,99997497,2
120238600559,0,15991,99997497,3260
69317290845,0,16371,99997497,7594
21779941843,-976,983,99997497,158
135976799893270990,"1970-12-31 21:00:00","2037-11-28 17:06:03",99997497,2472000
176436679,0,21,99997497,7
30281691,0,1,99997497,2
1110995098122,0,65236,99997497,43
85686,0,8,99997497,4
1176679095,"","windows-1251;charset=windows-1251;charset",99997497,10
87368326198,0,2015,99997497,37
2058511,0,1,99997497,2
896038,0,1,99997497,2
6549591,0,1,99997497,2
6.060998047892278e26,-4943521387431078466,9223371929331515314,99997497,15112668
5317473112,"","https://wwwwwww.bonprix.ru/",99997497,8510123
53158507417400860,0,1073741815,99997497,81465352
61,0,1,99997497,2
0,0,0,99997497,1
631807,0,1,99997497,2
9420634,0,1,99997497,2
10426143,0,1,99997497,2
99997497,"5","g",99997497,3
137383538266125760,"2013-07-01 20:00:00","2013-07-31 19:59:59",99997497,1432958
2546343945,0,55,99997497,6
103936502,0,2,99997497,3
163749046,0,3,99997497,4
237625666132,0,16383,99997497,9834
1221967578,0,255,99997497,256
57972509537547784,-2147482383,2147483645,99997497,9594872
1187083907511,-1,119593,99997497,65548
-98764791,-1,63722,99997497,14
270826660,-183,27847,99997497,2193
202715123,"04","�",99997497,98
337202902,"07","�",99997497,110
0,"","",99997497,1
0,"","",99997497,1
0,0,0,99997497,1
4681572505,0,30000,99997497,19659
531670737,0,30000,99997497,11518
1114237594,0,30000,99997497,13981
21471183728,0,30000,99997497,28173
10459823330,0,30000,99997497,28376
5584753879,0,30000,99997497,25744
1106851,0,32,99997497,27
2778742,"","~viy-glas",99997497,62909
23676816086,0,336875024,99997497,1109
11117,"","order-14752",99997497,397
299992697,"0U�","�o",99997497,11
1249176,0,552,99997497,2
7319477,"","direct.yandex.ru",99997497,6
3506916,"","мотор лодки, прократ - доброварка Vitek VT-1603 Xperia Tab",99997497,1952
5364285,"","zwoREb3cf952daXMxlTfoA",99997497,46892
8718007,"","zverystylish.ru:premium",99997497,3020
16688319,"","yandexmarketings",99997497,170
8981711,"","zubzub_40_10072013-07-09",99997497,286
22795240,"","товар",99997497,2642
1519356,"","сделать",99997497,3400
3008815,"","янао водители",99997497,9540
4548654,"","г.Пер",99997497,525
354727,0,1,99997497,2
1.1258669908879815e25,-9223371710186659019,9223370206026214098,99997497,21598756
1.8957848541147342e25,-9223371201305808888,9223371440932022236,99997497,20714865
115627168848,0,2096916,99997497,890
